CODE,NAME,SCIENTIFIC_NAME,TYPE_CODE,CAS_REGISTRY_NUM,CFR_SECTION_REF_CD,REPORTABLE_STR_DAT,REPORTABLE_END_DAT,STATE_CLASS_CODE
2076,BUTACHLOR,,OC,23184-66-9,141.40.n,1/30/1991,,SOC
2077,PROPACHLOR,,OC,1918-16-7,141.40.n,1/30/1991,,SOC
2078,CRYPTOSPORIDIUM,,MOR,,,,,MOR
2079,DIBROMOACETONITRILE,,OC,3252-43-5,,,,SOC
2080,CYANOGEN CHLORIDE,,OC,506-77-4,,,,SOC
2081,AMYL ACETATE,,OC,628-63-7,,,,SOC
2082,BUTANE,,OC,106-97-8,,,,SOC
2083,BUTYL ACETATE,,OC,123-86-4,,,,SOC
2084,N-BUTYL ALCOHOL,BUTANOL,OC,71-36-3,,,,SOC
2085,SEC-BUTYL ALCOHOL,,OC,78-92-2,,,,SOC
2086,1-CHLOROBUTANE,,OC,109-69-3,,,,SOC
2087,1-CHLOROHEXANE,,OC,544-10-5,,,,SOC
2088,ETHYL ACETATE,,OC,141-78-6,,,,SOC
2089,ETHYL ALCOHOL,,OC,64-17-5,,,,SOC
2090,ETHYL ETHER,,OC,60-29-7,,,,SOC
2091,ISO-OCTANE,"2,2,4-TRIMETHYL-PENTANE",OC,26635-64-3,,,,SOC
2092,ISOBUTYL ACETATE,2-METHYLPROPYL ESTER ACETIC ACID,OC,110-19-0,,,,SOC
2093,ISOBUTYL ALCOHOL,2-METHYL-1-PROPYL ALCOHOL,OC,78-83-1,,,,SOC
2094,ISOPROPYL ACETATE,1-METHYL-ETHYL ESTER ACETIC ACID,OC,108-21-4,,,,SOC
2095,ISOPROPYL ALCOHOL,,OC,67-63-0,,,,SOC
2096,RDX,CYCLONITE,OC,,,,,SOC
2097,AMINOMETHYLPHOSPHONIC ACID,,OC,1066-51-9,,,,SOC
2098,BROMACIL,,OC,314-40-9,,,,SOC
2099,DCPA,DIMETHYL TETRACHLOROETHER PHTHALATE,OC,1861-32-1,,,,SOC
2100,DCPA MONO ACID DEGRADATE,,OC,887-54-7,,,,SOC
2101,DCPA DI ACID DEGRADATE,,OC,2136-79-0,,,,SOC
2102,DISULFOTON,THIODEMETON,OC,298-04-4,,,,SOC
2103,DIURON,DMU,OC,330-54-1,,,,SOC
2105,"2,4-D",,OC,94-75-7,141.61.c,,,SOC
2106,"2,4-DB",,OC,94-82-6,,,,SOC
2107,TRICLOPYR,,OC,55335-06-3,,,,SOC
2108,DCPA MONO/DI-ACID DEGRADATES,,OC,,,,,SOC
2109,"3,4-DICHLOROBENZOIC ACID",,OC,,,,,SOC
2110,"2,4,5-TP",,OC,93-72-1,141.61.c,,,SOC
2111,"2,4,5-T",,OC,93-76-5,,,,SOC
2112,MECOPROP,,OC,93-65-2,,,,SOC
2113,MCPA,2-METHYL-4-CHLOROPHENOXYACETIC ACID,OC,94-74-6,,,,SOC
2114,"PERMETHRIN (MIXED, CIS, TRANS)",,OC,52645-53-1,,,,
2200,2-NITROANILINE,,OC,88-74-4,,,,VOC
2201,3-NITROANILINE,,OC,99-09-2,,,,VOC
2202,DIBENZOFURAN,,OC,132-64-9,,,,VOC
2203,4-NITROANILINE,,OC,100-01-6,,,,VOC
2204,AZOBENZENE,,OC,103-33-3,,,,VOC
2205,CHLORAMBEN,,OC,133-90-4,,,,VOC
2206,DICHLORPROP,,OC,120-36-5,,,,VOC
2207,BENFLURALIN,,OC,1861-40-1,,,,VOC
2209,BROMOXYNIL,,OC,1689-84-5,,,,DBP
2210,CHLOROMETHANE,METHYL CHLORIDE,OC,74-87-3,141.40.e,1/1/1988,,DBP
2212,DICHLORODIFLUOROMETHANE,ARCTON,OC,75-71-8,141.40.j,1/1/1988,,DBP
2213,CHLOROTHALONIL,,OC,1897-45-6,,,,VOC
2214,BROMOMETHANE,METHYL BROMIDE,OC,74-83-9,141.40.e,1/1/1988,,DBP
2215,CHLOROPYRIFOS,,OC,2921-88-2,,,,VOC
2216,CHLOROETHANE,HYDROCHLORIC ETHER,OC,75-00-3,141.40.e,1/1/1988,,VOC
2217,CHLORSULFURON,,OC,64902-72-3,,,,VOC
2218,TRICHLOROFLUOROMETHANE,FLUOROTRICHLOROMETHANE,OC,75-69-4,141.40.j,1/1/1988,,DBP
2219,TRICHLOROACETONITRILE,,OC,545-06-2,,,,DBP
2220,DICHROTOPHOS,,OC,298-03-3,,,,VOC
2221,DIMETHOATE,,OC,60-51-5,,,,VOC
2222,BIS(2-CHLOROETHYL) ETHER,,OC,111-44-4,,,,VOC
2223,DI-N-OCTYL PHTHALATE,,OC,117-84-0,,,,VOC
2224,"TRANS-1,3-DICHLOROPROPENE",,OC,10061-02-6,,,,VOC
2225,HEXACHLOROETHANE,,OC,67-72-1,,,,VOC
2226,"TRANS-1,2-DICHLOROPROPENE",,OC,7069-38-7,,,,VOC
2227,"2-METHYL-4,6-DINITROPHENOL",,OC,534-52-1,,,,VOC
2228,"CIS-1,3-DICHLOROPROPENE",,OC,10061-01-5,,,,VOC
2229,N-NITROSODIPHENYLAMINE,,OC,86-30-6,,,,VOC
2230,ANILINE,,OC,62-53-3,,,,VOC
2231,BENZYL ALCOHOL,,OC,100-51-6,,,,VOC
2232,"1,2-DIBROMOETHYLENE",,OC,540-49-8,,,,VOC
2233,2-METHYLPHENOL,,OC,95-48-7,,,,VOC
2234,2-CHLOROETHYL VINYL ETHER,,OC,110-75-8,,,,VOC
2235,4-METHYLPHENOL,,OC,106-44-5,,,,VOC
2236,DIIODOMETHANE,IODOMETHANE = 74-88-4,OC,75-11-6,141.40.j,,,VOC
2237,BENZOIC ACID,,OC,65-85-0,,,,VOC
2238,ACROLEIN,,OC,107-02-8,,,,VOC
2239,4-CHLOROANILINE,,OC,106-47-8,,,,VOC
2240,ACRYLONITRILE,,OC,107-13-1,,,,VOC
2241,2-METHYLNAPHTHALENE,,OC,91-57-6,,,,VOC
2242,"2,4,5-TRICHLOROPHENOL",,OC,95-95-4,,,,VOC
2243,ACETONE,,OC,67-64-1,,,,VOC
2244,BIS(2-CHLOROISOPROPYL) ETHER,,OC,39638-32-9,,,,VOC
2245,ISOPROPYL ETHER,"2,2'-OXY-BIS-PROPANE",OC,108-20-3,,,,VOC
2246,HEXACHLOROBUTADIENE,"1,1,2,3,4,4-HEXACHLORO-1,3-BUTADINE",OC,87-68-3,141.40.j,1/1/1988,,VOC
2247,METHYL ETHYL KETONE,2-BUTANOL,OC,78-93-3,,,,VOC
2248,NAPHTHALENE,"NAPHTHENE, NAPHTHALIN, TAR CAMPHOR",OC,91-20-3,141.40.j,1/1/1988,,VOC
2249,METHYL ISOBUTYL KETONE,"4-METHYL, 2- PENTANONE",OC,108-10-1,,,,VOC
2250,BIS(2-CHLOROETHOXY)METHANE,,OC,111-91-1,,,,VOC
2251,METHYL TERT-BUTYL ETHER,"2-METHOXY-2,METHYL PROPANE",OC,1634-04-4,,,,VOC
2252,ETHALFLURALIN,,OC,55283-68-6,,,,VOC
2253,DEMETON METHYL,,OC,8022-00-2,,,,VOC
2254,NITROBENZENE,,OC,98-95-3,,,,VOC
2255,PENDIMETHALIN,,OC,40487-42-1,,,,VOC
2256,PROPAZINE,,OC,139-40-2,,,,VOC
2257,EPICHLOROHYDRIN,,OC,106-89-8,,,,VOC
2258,2-CHLORONAPHTHALENE,,OC,91-58-7,,,,VOC
2259,1-NAPHTHOL,,OC,90-15-3,,,,VOC
2260,ACENAPHTHYLENE,,OC,208-96-8,,,,VOC
2261,ACENAPHTHENE,,OC,83-32-9,,,,VOC
2262,ISOPHORONE,,OC,78-59-1,,,,VOC
